COD,SETOR,PRECO_ATUAL,LIQUIDEZ_DIARIA,DIVIDENDO,DIVIDEND_YIELD,DY_3M_ACUM,DY_6M_ACUM,DY_12M_ACUM,DY_3M_MEDIA,DY_6M_MEDIA,DY_12M_MEDIA,DY_ANO,VARIACAO_PRECO,RENTAB_PERIODO,RENTAB_ACUM,PATRIMONIO_LIQ,VPA,P_VPA,DY_PATRIMONIAL,VARIACAO_PATRIMONIAL,RENTAB_PATR_NO_PERIODO,RENTAB_PATR_ACUM,VACANCIA_FISICA,VACANCIA_FINANCEIRA,QUANTIDADE_ATIVOS
MCHY11,Títulos e Val. Mob.,"110,87",49,"1,40","1,27","3,82","9,69","17,33","1,27","1,61","1,44","2,55","0,00","1,27","2,56"," 357.847.552,23"," 99,69","1,11","3,41","-3,72","-0,43","9,03",N/A,N/A,0
NCRA11,,"10,41",16641,"0,15","1,44","5,66","6,92","0,00","1,89","1,15","0,00","2,84","-88,74","-88,58","-88,42",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
SNCI11,Títulos e Val. Mob.,"93,98",6418,"1,00","1,04","3,08","6,07","13,65","1,03","1,01","1,14","2,07","-0,91","0,12","1,15"," 408.717.519,54"," 97,31","0,97","1,03","-0,94","0,08","8,67",N/A,N/A,0
SNFF11,Títulos e Val. Mob.,"82,65",1982,"0,65","0,77","2,43","5,33","10,53","0,81","0,89","0,88","1,52","-3,47","-2,72","-2,00"," 251.391.286,35"," 88,83","0,93","1,46","-4,82","-3,43","1,12",N/A,N/A,0
MATV11,Títulos e Val. Mob.,"77,00",2,"0,60","0,74","3,18","5,84","13,27","1,06","0,97","1,11","1,98","0,01","0,75","2,00"," 39.226.174,04"," 92,09","0,84","0,87","-1,34","-0,49","-0,81",N/A,N/A,0
BLMC11,Outros,"72,79",117,"0,87","1,18","3,28","5,87","13,56","1,09","0,98","1,13","2,26","-1,97","-0,81","0,26"," 38.382.613,19"," 96,08","0,76","0,84","0,00","0,84","0,84",N/A,N/A,0
BTLG11,Logística,"94,19",39025,"0,74","0,79","2,35","4,59","8,99","0,78","0,77","0,75","1,58","0,53","1,32","2,12"," 2.089.628.167,96"," 99,19","0,95","0,75","0,09","0,84","4,82",N/A,"2,00",16
RZAK11,Títulos e Val. Mob.,"91,21",20674,"1,20","1,30","3,98","8,38","18,11","1,33","1,40","1,51","2,52","-6,43","-5,21","-4,05"," 360.999.586,28"," 92,64","0,98","1,62","-0,41","1,20","7,90",N/A,N/A,0
ALZM11,Títulos e Val. Mob.,"83,60",1483,"0,85","1,01","2,11","3,29","10,40","0,70","0,55","0,87","2,11","5,63","6,70","7,87"," 66.447.316,94"," 96,13","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
XPML11,Shoppings,"99,09",34992,"0,78","0,81","2,51","4,80","8,99","0,84","0,80","0,75","1,60","-0,67","0,13","0,93"," 2.113.025.649,90"," 99,14","1,00","0,81","-5,35","-4,58","-4,58","3,90",N/A,16
MORC11,Títulos e Val. Mob.,"87,55",1923,"1,10","1,20","3,53","7,08","15,58","1,18","1,18","1,30","2,38","-4,88","-3,74","-2,60"," 125.287.392,96"," 96,98","0,90","1,13","-0,73","0,40","3,30",N/A,N/A,0
EQIR11,Títulos e Val. Mob.,"8,97",224,"0,11","1,24","3,60","7,03","23,99","1,20","1,17","2,00","2,47","-0,11","1,12","2,37"," 49.065.462,53"," 9,76","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
ALZR11,Logística,"113,60",10464,"0,82","0,74","2,15","4,16","12,35","0,72","0,69","1,03","1,46","0,09","0,83","1,56"," 740.337.456,78"," 106,94","1,06","0,68","-0,03","0,65","7,26","0,00",N/A,15
BTAL11,Outros,"88,30",6374,"0,83","0,97","2,77","5,41","10,52","0,92","0,90","0,88","1,90","-3,45","-2,52","-1,61"," 633.527.504,16"," 105,89","0,83","0,78","-0,43","0,35","8,41",N/A,N/A,7
FCFL11,Outros,"101,99",11842,"0,81","0,80","2,20","4,17","8,53","0,73","0,70","0,71","1,52","-9,62","-8,89","-8,24"," 403.561.990,48"," 116,17","0,88","0,69","0,00","0,69","0,69","0,00",N/A,1
XPIN11,Outros,"69,85",5883,"0,65","0,94","2,74","5,25","10,01","0,91","0,87","0,83","1,86","-2,24","-1,32","-0,41"," 741.738.206,50"," 103,73","0,67","0,63","0,23","0,86","1,49","17,30","12,00",5
CCRF11,Títulos e Val. Mob.,"80,02",117,"0,50","0,63","2,78","4,81","12,03","0,93","0,80","1,00","2,23","-8,80","-8,22","-6,75"," 149.178.347,27"," 94,90","0,84","1,45","0,00","1,45","1,45",N/A,N/A,0
ERCR11,Híbrido,"76.000,00",1,"1.205,12","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 154.744.932,02"," 65.128,34","1,17","1,76","0,00","1,76","1,76",N/A,N/A,0
LFTT11,Residencial,"68,20",28,"1,32","1,94","17,80","0,00","0,00","5,93","0,00","0,00","17,80","-7,69","-5,90","9,64"," 283.216.343,77"," 38,25","1,78","13,37","0,00","13,37","13,37",N/A,N/A,0
CNES11,Lajes Corporativas,"29,61",13,"0,11","0,39","1,36","2,43","4,07","0,45","0,40","0,34","0,79","-7,03","-6,67","-6,29"," 263.957.120,08"," 89,50","0,33","0,12","2,57","2,70","4,26","56,70",N/A,1
JURO11,Renda,"99,44",11841,"0,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
BTRA11,Outros,"85,72",3363,"0,95","1,13","3,31","6,25","11,36","1,10","1,04","0,95","2,25","0,08","1,21","2,35"," 466.641.228,30"," 138,69","0,62","0,68","0,00","0,68","0,68",N/A,N/A,0
BDIF11,Renda,"82,50",19813,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EDGA11,Lajes Corporativas,"19,27",1231,"0,13","0,65","1,87","4,11","8,24","0,62","0,69","0,69","1,27","-4,26","-3,64","-3,04"," 233.668.180,11"," 61,30","0,31","0,21","0,00","0,21","0,21","48,81",N/A,1
BTSI11,Híbrido,N/A,N/A,"0,72","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 195.024.485,24"," 104,29",N/A,"0,69","0,31","1,00","1,69",N/A,N/A,0
RBHG11,Títulos e Val. Mob.,"80,34",1119,"1,05","1,28","3,72","7,53","16,12","1,24","1,25","1,34","3,72","-1,78","-0,53","1,59"," 159.894.026,18"," 92,55","0,87","1,13","0,04","1,17","2,27",N/A,N/A,0
LUGG11,Residencial,"71,50",339,"0,58","0,82","2,35","4,45","8,60","0,78","0,74","0,72","2,35","-4,02","-3,23","-3,40"," 132.936.011,23"," 117,57","0,61","0,49","-0,58","-0,09","0,37","2,40",N/A,4
SADI11,Títulos e Val. Mob.,"83,98",2273,"1,03","1,17","3,52","6,98","13,95","1,17","1,16","1,16","3,52","-3,01","-1,87","-1,21"," 310.851.649,88"," 97,75","0,86","1,09","-0,90","0,19","1,27",N/A,N/A,0
HUSI11,Hospital,"1.137,61",1,"8,06","0,71","2,30","4,29","0,00","0,77","0,71","0,00","2,94","0,00","0,71","1,65"," 129.222.278,01"," 1.110,52","1,02","0,70","11,72","12,51","13,35",N/A,N/A,0
BODB11,Renda,"9,70",8938,"0,11","1,12","1,12","0,00","0,00","0,37","0,00","0,00","1,12","0,00","1,12","1,12",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
CXTL11,Logística,"330,00",48,"1,70","0,41","1,19","2,03","3,37","0,40","0,34","0,28","1,19","-0,24","0,17","6,46"," 24.904.843,11"," 464,67","0,71","0,36","-2,29","-1,94","-1,63","61,00",N/A,3
RRCI11,Títulos e Val. Mob.,"77,83",3488,"1,00","1,25","3,54","6,80","15,27","1,18","1,13","1,27","3,54","-4,92","-3,73","-4,18"," 43.829.740,47"," 90,98","0,86","1,15","0,30","1,46","2,47",N/A,N/A,0
MFAI11,Híbrido,"55,93",15,"0,31","0,55","2,55","5,40","10,26","0,85","0,90","0,86","2,55","-0,96","-0,42","-0,12"," 20.905.527,77"," 66,14","0,85","0,86","-2,96","-2,12","-2,12",N/A,N/A,0
CPTI11,Renda,"93,95",7551,"0,90","0,96","0,96","0,00","0,00","0,32","0,00","0,00","0,96","0,00","0,96","0,96",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
BIDB11,Renda,"87,71",249,"1,30","1,49","1,49","0,00","0,00","0,50","0,00","0,00","1,49","0,00","1,49","1,49",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
IFRA11,Renda,"93,91",10313,"0,87","0,91","0,91","0,00","0,00","0,30","0,00","0,00","0,91","0,00","0,91","0,91",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KDIF11,Renda,"125,21",9986,"1,45","1,15","1,15","0,00","0,00","0,38","0,00","0,00","1,15","0,00","1,15","1,15",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HABT11,Títulos e Val. Mob.,"82,46",17555,"1,25","1,45","4,12","7,43","14,72","1,37","1,24","1,23","4,12","-1,63","-0,21","-1,38"," 803.311.542,03"," 98,85","0,83","1,21","-0,91","0,30","1,48",N/A,N/A,0
ARRI11,Títulos e Val. Mob.,"8,10",24865,"0,11","1,24","3,38","7,41","15,56","1,13","1,23","1,30","3,38","-4,73","-3,55","-2,74"," 108.250.162,27"," 8,85","0,92","1,47","0,00","1,47","1,47",N/A,N/A,0
XPID11,Renda,"82,70",6214,"0,45","0,53","0,53","0,00","0,00","0,18","0,00","0,00","0,53","0,00","0,53","0,53",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EDFO11B,Lajes Corporativas,"189,99",1,"1,73","0,87","2,56","5,06","9,93","0,85","0,84","0,83","2,56","-1,00","-0,14","2,07"," 42.631.813,36"," 180,64","1,05","0,92","0,00","0,93","1,88","7,10",N/A,1
BCIA11,Títulos e Val. Mob.,"82,80",2179,"0,78","0,97","2,83","5,45","10,58","0,94","0,91","0,88","2,83","-1,54","-0,59","-0,55"," 357.768.939,49"," 96,20","0,86","0,81","-0,75","0,06","1,04",N/A,N/A,0
RBHY11,Títulos e Val. Mob.,"90,65",652,"1,20","1,30","3,79","7,57","16,11","1,26","1,26","1,34","3,79","-3,17","-1,92","-0,99"," 179.038.304,88"," 94,55","0,96","1,27","-0,15","1,12","2,40",N/A,N/A,0
VJFD11,Híbrido,N/A,N/A,"1,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 664.050.967,13"," 136,18",N/A,"0,75","0,06","0,81","1,57",N/A,N/A,0
BTWR11,Lajes Corporativas,"107,00",4,"0,47","0,44","0,81","1,61","3,75","0,27","0,27","0,31","0,81","0,00","0,44","0,81"," 90.453.571,91"," 111,77","0,96","0,36","0,20","0,56","0,89","12,00",N/A,1
RFOF11,Títulos e Val. Mob.,"64,30",1262,"0,70","1,05","3,09","6,04","11,71","1,03","1,01","0,98","3,09","-0,49","0,55","-1,20"," 82.490.618,94"," 76,51","0,84","0,91","-1,27","-0,37","0,53",N/A,N/A,0
RMAI11,Lajes Corporativas,"45,80",36,"0,26","0,55","1,58","3,15","7,40","0,53","0,52","0,62","1,58","-4,08","-3,55","-8,16"," 244.171.283,76"," 99,91","0,46","0,26","-7,33","-7,09","-6,87","23,44",N/A,1
ZAVI11,Híbrido,"126,00",7,"1,10","0,87","0,87","0,00","0,00","0,29","0,00","0,00","0,87","0,00","0,87","0,87"," 117.967.877,24"," 127,32","0,99","0,82","0,00","0,82","0,82",N/A,N/A,0
SPTW11,Lajes Corporativas,"38,24",1859,"0,42","1,09","3,20","6,20","11,76","1,07","1,03","0,98","3,20","-1,15","-0,08","-1,63"," 100.393.129,85"," 55,84","0,68","0,75","0,09","0,85","1,60","0,00",N/A,1
VIUR11,Títulos e Val. Mob.,"6,35",65928,"0,07","1,19","3,33","6,13","11,88","1,11","1,02","0,99","3,33","-7,23","-6,12","-11,34"," 246.170.038,89"," 9,14","0,70","0,79","-0,35","0,44","1,82","0,00",N/A,6
JRDM11,Shoppings,"77,50",1241,"0,59","0,72","2,21","4,36","8,01","0,74","0,73","0,67","0,72","0,00","0,72","0,72"," 223.490.739,85"," 88,58","0,87","1,29","-0,78","0,50","0,50","2,77",N/A,1
HLOG11,Logística,"81,49",301,"0,65","0,78","2,31","4,42","8,71","0,77","0,74","0,73","2,31","-1,52","-0,75","-1,74"," 493.289.241,38"," 116,07","0,70","0,56","-0,25","0,30","0,86","58,00","0,00",3
JFLL11,Residencial,"60,24",245,"0,63","1,09","3,17","6,01","11,16","1,06","1,00","0,93","3,17","-3,27","-2,22","1,47"," 151.570.078,64"," 101,01","0,60","0,61","-0,02","0,59","1,21","28,00",N/A,2
BBRC11,Outros,"92,70",1341,"0,99","1,07","3,15","6,16","12,02","1,05","1,03","1,00","3,15","-2,50","-1,46","-0,25"," 171.565.036,46"," 107,90","0,86","0,92","0,06","0,98","1,91","5,37","1,08",20
HGAG11,,"35,91",175,"0,51","1,50","4,81","301,86","0,00","1,60","50,31","0,00","4,81","17,04","18,80","34,07",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
BCRI11,Títulos e Val. Mob.,"68,56",20096,"0,86","1,17","3,02","6,12","13,52","1,01","1,02","1,13","3,02","-22,58","-21,67","-23,80"," 628.242.141,38"," 100,39","0,68","0,80","0,01","0,81","1,81",N/A,N/A,0
BPFF11,Títulos e Val. Mob.,"58,12",2296,"0,62","1,08","3,04","5,87","12,41","1,01","0,98","1,03","3,04","-6,18","-5,17","-8,27"," 322.269.846,68"," 71,74","0,81","0,86","0,00","0,86","0,86",N/A,N/A,0
PLCR11,Híbrido,"82,60",2866,"1,00","1,21","3,57","7,19","15,16","1,19","1,20","1,26","3,57","-1,61","-0,43","1,60"," 191.604.396,10"," 90,84","0,91","1,10","-1,64","-0,56","9,06",N/A,N/A,0
SPVJ11,Outros,N/A,N/A,"0,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 733.542.910,43"," 116,21",N/A,"0,58","-0,04","0,54","1,12",N/A,N/A,0
